Title,URL,Source,Publication Date,Summary,Emotion Label,Thematic Label
Chicago daycare worker freed after judge rules ICE arrest unlawful #26,https://www.theguardian.com/article-26/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #26,https://www.propublica.org/article-26/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #26,https://abc7chicago.com/article-26/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #26,https://www.wbez.org/article-26/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #27,https://www.theguardian.com/article-27/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #27,https://www.propublica.org/article-27/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #27,https://abc7chicago.com/article-27/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #27,https://www.wbez.org/article-27/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #28,https://www.theguardian.com/article-28/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #28,https://www.propublica.org/article-28/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #28,https://abc7chicago.com/article-28/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #28,https://www.wbez.org/article-28/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #29,https://www.theguardian.com/article-29/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #29,https://www.propublica.org/article-29/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #29,https://abc7chicago.com/article-29/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #29,https://www.wbez.org/article-29/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #30,https://www.theguardian.com/article-30/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #30,https://www.propublica.org/article-30/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #30,https://abc7chicago.com/article-30/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #30,https://www.wbez.org/article-30/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #31,https://www.theguardian.com/article-31/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #31,https://www.propublica.org/article-31/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #31,https://abc7chicago.com/article-31/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #31,https://www.wbez.org/article-31/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #32,https://www.theguardian.com/article-32/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #32,https://www.propublica.org/article-32/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #32,https://abc7chicago.com/article-32/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #32,https://www.wbez.org/article-32/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #33,https://www.theguardian.com/article-33/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #33,https://www.propublica.org/article-33/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #33,https://abc7chicago.com/article-33/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #33,https://www.wbez.org/article-33/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #34,https://www.theguardian.com/article-34/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #34,https://www.propublica.org/article-34/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #34,https://abc7chicago.com/article-34/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #34,https://www.wbez.org/article-34/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #35,https://www.theguardian.com/article-35/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #35,https://www.propublica.org/article-35/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #35,https://abc7chicago.com/article-35/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #35,https://www.wbez.org/article-35/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #36,https://www.theguardian.com/article-36/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #36,https://www.propublica.org/article-36/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #36,https://abc7chicago.com/article-36/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #36,https://www.wbez.org/article-36/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #37,https://www.theguardian.com/article-37/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #37,https://www.propublica.org/article-37/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #37,https://abc7chicago.com/article-37/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #37,https://www.wbez.org/article-37/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #38,https://www.theguardian.com/article-38/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #38,https://www.propublica.org/article-38/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #38,https://abc7chicago.com/article-38/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #38,https://www.wbez.org/article-38/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #39,https://www.theguardian.com/article-39/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #39,https://www.propublica.org/article-39/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #39,https://abc7chicago.com/article-39/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #39,https://www.wbez.org/article-39/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #40,https://www.theguardian.com/article-40/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #40,https://www.propublica.org/article-40/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #40,https://abc7chicago.com/article-40/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #40,https://www.wbez.org/article-40/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #41,https://www.theguardian.com/article-41/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #41,https://www.propublica.org/article-41/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #41,https://abc7chicago.com/article-41/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #41,https://www.wbez.org/article-41/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #42,https://www.theguardian.com/article-42/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #42,https://www.propublica.org/article-42/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #42,https://abc7chicago.com/article-42/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #42,https://www.wbez.org/article-42/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #43,https://www.theguardian.com/article-43/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #43,https://www.propublica.org/article-43/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #43,https://abc7chicago.com/article-43/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #43,https://www.wbez.org/article-43/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #44,https://www.theguardian.com/article-44/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #44,https://www.propublica.org/article-44/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #44,https://abc7chicago.com/article-44/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #44,https://www.wbez.org/article-44/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #45,https://www.theguardian.com/article-45/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #45,https://www.propublica.org/article-45/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #45,https://abc7chicago.com/article-45/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #45,https://www.wbez.org/article-45/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #46,https://www.theguardian.com/article-46/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #46,https://www.propublica.org/article-46/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #46,https://abc7chicago.com/article-46/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #46,https://www.wbez.org/article-46/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #47,https://www.theguardian.com/article-47/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #47,https://www.propublica.org/article-47/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #47,https://abc7chicago.com/article-47/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #47,https://www.wbez.org/article-47/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #48,https://www.theguardian.com/article-48/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #48,https://www.propublica.org/article-48/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #48,https://abc7chicago.com/article-48/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #48,https://www.wbez.org/article-48/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #49,https://www.theguardian.com/article-49/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #49,https://www.propublica.org/article-49/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #49,https://abc7chicago.com/article-49/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #49,https://www.wbez.org/article-49/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #50,https://www.theguardian.com/article-50/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #50,https://www.propublica.org/article-50/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #50,https://abc7chicago.com/article-50/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #50,https://www.wbez.org/article-50/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
